buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,actual_win_rate,avg_predicted_win_prob,roi,props,houses,hotels,turns
True,True,False,False,False,True,True,True,True,False,3,100,100,0.33,0.33692114150575775,3.332953333333333,6.96,0.88,1.13,129.09
True,False,True,False,False,False,False,True,False,True,3,100,100,0.34,0.3367744368840637,3.8188666666666666,9.3,2.09,2.22,130.15
False,True,True,False,True,True,False,True,True,True,3,0,100,0.3,0.3367318357075814,3.2681466666666665,8.59,1.39,1.57,139.34
False,True,True,False,False,True,False,True,False,True,5,0,100,0.32,0.3366917716495351,4.016066666666667,8.44,1.33,1.85,142.47
True,True,False,True,True,False,True,True,True,True,5,100,100,0.29,0.33654686090988245,3.8287133333333334,8.04,1.17,1.6,146.05
True,False,False,False,True,True,False,False,False,False,5,50,100,0.32,0.33651160854995593,3.05292,7.93,1.39,1.64,115.19
False,True,True,True,False,False,True,True,True,False,3,0,100,0.28,0.33644924974535206,2.8776933333333337,7.1,1.45,1.36,119.21
True,True,True,False,True,True,False,False,False,True,5,50,100,0.33,0.33605505287403425,3.8642200000000004,8.57,1.21,1.87,145.46
False,True,True,False,False,True,False,True,True,False,5,50,100,0.34,0.3359827497574215,4.387946666666667,7.83,1.58,1.66,142.55
True,False,False,True,True,True,False,False,False,False,5,50,100,0.3,0.33555992960991865,2.6920333333333333,7.84,1.59,1.6,114.39
True,False,True,False,False,False,True,False,False,False,5,0,100,0.33,0.3355499751246859,4.137893333333333,8.7,1.01,1.66,153.89
True,True,False,False,False,False,False,True,True,True,3,50,100,0.34,0.33535848333590174,4.478866666666667,8.61,1.69,1.78,141.81
False,True,False,True,False,False,False,False,True,False,3,0,100,0.32,0.3351953545558024,4.04894,8.57,1.96,1.6,149.43
True,True,False,True,True,False,False,False,False,True,3,0,100,0.3,0.3350434964896434,3.4517,8.4,1.18,1.63,124.52
True,True,True,False,False,False,True,False,False,False,5,100,100,0.34,0.33495170245285494,4.162459999999999,9.03,2.11,1.8,140.8
