buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate
0,1,0,0,1,0,0,1,1,0,3,100,100,27,7.38,1.69,1.36,141.18,0.27,0.2689412391611882
0,1,0,0,1,0,0,1,1,0,5,0,100,20,5.89,0.94,0.92,132.59,0.2,0.2022745724945215
0,1,0,0,1,0,0,1,1,0,5,50,100,28,7.74,0.98,1.42,126.95,0.28,0.27846504868499766
0,1,0,0,1,0,0,1,1,0,5,100,100,31,8.73,2.02,1.84,138.08,0.31,0.30703647725642624
0,1,0,0,1,0,0,1,1,1,3,0,100,33,7.67,1.01,1.57,129.83,0.33,0.3260840963040453
0,1,0,0,1,0,0,1,1,1,3,50,100,26,6.06,0.68,1.03,173.87,0.26,0.2594174296373786
0,1,0,0,1,0,0,1,1,1,3,100,100,25,6.88,0.64,1.08,157.28,0.25,0.2498936201135691
0,1,0,0,1,0,0,1,1,1,5,0,100,24,6.69,1.1,1.1,146.91,0.24,0.2403698105897596
0,1,0,0,1,0,0,1,1,1,5,50,100,30,6.99,1.37,0.97,133.45,0.3,0.2975126677326167
0,1,0,0,1,0,0,1,1,1,5,100,100,35,8.7,1.09,1.67,176.65,0.35,0.3451317153516643
0,1,0,0,1,0,1,0,0,0,3,0,100,22,6.22,0.69,0.73,152.48,0.22,0.22132219154214053
0,1,0,0,1,0,1,0,0,0,3,50,100,25,7.15,1.59,1.32,139.24,0.25,0.2498936201135691
0,1,0,0,1,0,1,0,0,0,3,100,100,27,7.5,1.45,1.57,157.54,0.27,0.2689412391611882
0,1,0,0,1,0,1,0,0,0,5,0,100,33,8.39,1.37,1.38,138.74,0.33,0.3260840963040453
0,1,0,0,1,0,1,0,0,0,5,50,100,15,4.78,0.56,0.79,142.39,0.15,0.15465552487547388
0,1,0,0,1,0,1,0,0,0,5,100,100,24,6.37,0.99,1.26,131.89,0.24,0.2403698105897596
0,1,0,0,1,0,1,0,0,1,3,0,100,25,7.62,1.15,1.74,150.38,0.25,0.2498936201135691
0,1,0,0,1,0,1,0,0,1,3,50,100,23,6.49,1.07,1.15,143.88,0.23,0.23084600106595005
0,1,0,0,1,0,1,0,0,1,3,100,100,20,6.05,1.53,1.03,128.14,0.2,0.2022745724945215
0,1,0,0,1,0,1,0,0,1,5,0,100,24,6.94,1.72,1.29,141.02,0.24,0.2403698105897596
0,1,0,0,1,0,1,0,0,1,5,50,100,27,7.9,1.74,1.48,139.76,0.27,0.2689412391611882
0,1,0,0,1,0,1,0,0,1,5,100,100,34,8.85,2.14,1.69,166.95,0.34,0.3356079058278548
0,1,0,0,1,0,1,0,1,0,3,0,100,32,9.1,1.71,1.84,142.79,0.32,0.3165602867802358
0,1,0,0,1,0,1,0,1,0,3,50,100,29,6.27,0.72,1.08,157.17,0.29,0.2879888582088072
0,1,0,0,1,0,1,0,1,0,3,100,100,26,7.87,2.01,1.73,149.22,0.26,0.2594174296373786
0,1,0,0,1,0,1,0,1,0,5,0,100,28,7.68,1.03,1.42,160.98,0.28,0.27846504868499766
0,1,0,0,1,0,1,0,1,0,5,50,100,21,5.16,0.63,0.78,140.43,0.21,0.211798382018331
0,1,0,0,1,0,1,0,1,0,5,100,100,30,6.9,1.68,1.33,152.47,0.3,0.2975126677326167
0,1,0,0,1,0,1,0,1,1,3,0,100,25,6.73,1.03,1.26,130.71,0.25,0.2498936201135691
0,1,0,0,1,0,1,0,1,1,3,50,100,21,6.32,0.97,1.26,130.51,0.21,0.211798382018331
0,1,0,0,1,0,1,0,1,1,3,100,100,27,7.34,1.25,1.0,182.93,0.27,0.2689412391611882
0,1,0,0,1,0,1,0,1,1,5,0,100,26,7.21,1.42,1.5,122.47,0.26,0.2594174296373786
0,1,0,0,1,0,1,0,1,1,5,50,100,33,8.19,1.77,1.34,176.43,0.33,0.3260840963040453
0,1,0,0,1,0,1,0,1,1,5,100,100,28,7.41,1.38,1.52,126.28,0.28,0.27846504868499766
0,1,0,0,1,0,1,1,0,0,3,0,100,29,7.72,1.46,1.54,158.18,0.29,0.2879888582088072
0,1,0,0,1,0,1,1,0,0,3,50,100,23,6.94,0.77,1.08,167.98,0.23,0.23084600106595005
0,1,0,0,1,0,1,1,0,0,3,100,100,25,6.93,0.84,1.1,151.31,0.25,0.2498936201135691
0,1,0,0,1,0,1,1,0,0,5,0,100,29,7.64,1.48,1.52,156.29,0.29,0.2879888582088072
0,1,0,0,1,0,1,1,0,0,5,50,100,23,6.81,0.83,1.35,148.31,0.23,0.23084600106595005
0,1,0,0,1,0,1,1,0,0,5,100,100,20,5.74,0.83,0.85,164.31,0.2,0.2022745724945215
0,1,0,0,1,0,1,1,0,1,3,0,100,26,7.27,1.58,1.57,128.87,0.26,0.2594174296373786
0,1,0,0,1,0,1,1,0,1,3,50,100,22,6.36,0.91,1.05,145.12,0.22,0.22132219154214053
0,1,0,0,1,0,1,1,0,1,3,100,100,22,6.35,0.68,1.07,155.9,0.22,0.22132219154214053
0,1,0,0,1,0,1,1,0,1,5,0,100,20,5.31,0.61,0.99,138.75,0.2,0.2022745724945215
0,1,0,0,1,0,1,1,0,1,5,50,100,28,7.92,1.52,1.3,159.8,0.28,0.27846504868499766
0,1,0,0,1,0,1,1,0,1,5,100,100,24,6.52,1.8,1.05,161.37,0.24,0.2403698105897596
0,1,0,0,1,0,1,1,1,0,3,0,100,20,5.69,0.76,0.87,159.52,0.2,0.2022745724945215
0,1,0,0,1,0,1,1,1,0,3,50,100,26,8.17,1.56,1.46,163.72,0.26,0.2594174296373786
0,1,0,0,1,0,1,1,1,0,3,100,100,18,5.24,1.37,0.78,124.68,0.18,0.18322695344690243
0,1,0,0,1,0,1,1,1,0,5,0,100,24,6.63,1.64,1.2,153.15,0.24,0.2403698105897596
0,1,0,0,1,0,1,1,1,0,5,50,100,21,6.95,0.99,1.47,125.8,0.21,0.211798382018331
0,1,0,0,1,0,1,1,1,0,5,100,100,24,6.3,0.6,1.12,121.24,0.24,0.2403698105897596
0,1,0,0,1,0,1,1,1,1,3,0,100,25,6.25,0.99,1.32,133.72,0.25,0.2498936201135691
0,1,0,0,1,0,1,1,1,1,3,50,100,28,7.32,1.26,1.5,157.69,0.28,0.27846504868499766
0,1,0,0,1,0,1,1,1,1,3,100,100,29,7.38,1.72,1.37,124.94,0.29,0.2879888582088072
0,1,0,0,1,0,1,1,1,1,5,0,100,22,5.83,0.93,1.16,124.78,0.22,0.22132219154214053
0,1,0,0,1,0,1,1,1,1,5,50,100,26,6.67,1.05,0.99,137.73,0.26,0.2594174296373786
0,1,0,0,1,0,1,1,1,1,5,100,100,22,6.05,1.31,1.11,121.15,0.22,0.22132219154214053
0,1,0,0,1,1,0,0,0,0,3,0,100,26,7.99,1.45,1.56,137.71,0.26,0.2594174296373786
0,1,0,0,1,1,0,0,0,0,3,50,100,25,6.97,1.53,0.97,142.56,0.25,0.2498936201135691
0,1,0,0,1,1,0,0,0,0,3,100,100,23,6.32,0.71,0.9,153.73,0.23,0.23084600106595005
0,1,0,0,1,1,0,0,0,0,5,0,100,21,6.11,1.44,0.99,141.64,0.21,0.211798382018331
0,1,0,0,1,1,0,0,0,0,5,50,100,21,5.85,1.14,1.15,119.72,0.21,0.211798382018331
0,1,0,0,1,1,0,0,0,0,5,100,100,26,7.01,0.81,1.22,149.52,0.26,0.2594174296373786
0,1,0,0,1,1,0,0,0,1,3,0,100,27,7.2,1.12,1.07,140.29,0.27,0.2689412391611882
0,1,0,0,1,1,0,0,0,1,3,50,100,20,5.62,0.56,0.8,144.62,0.2,0.2022745724945215
0,1,0,0,1,1,0,0,0,1,3,100,100,28,7.08,0.86,1.27,153.87,0.28,0.27846504868499766
0,1,0,0,1,1,0,0,0,1,5,0,100,19,4.84,0.67,0.55,151.52,0.19,0.19275076297071195
0,1,0,0,1,1,0,0,0,1,5,50,100,31,7.53,1.17,1.49,134.97,0.31,0.30703647725642624
0,1,0,0,1,1,0,0,0,1,5,100,100,33,8.21,1.29,1.76,146.53,0.33,0.3260840963040453
0,1,0,0,1,1,0,0,1,0,3,0,100,21,5.5,0.81,0.86,130.67,0.21,0.211798382018331
0,1,0,0,1,1,0,0,1,0,3,50,100,22,5.12,0.55,0.87,138.98,0.22,0.22132219154214053
0,1,0,0,1,1,0,0,1,0,3,100,100,16,6.09,0.84,0.97,147.75,0.16,0.1641793343992834
0,1,0,0,1,1,0,0,1,0,5,0,100,23,6.32,1.38,1.19,138.62,0.23,0.23084600106595005
